     sname     |     sname     
 Lieberman     | Sarbanes
 Lieberman     | Shelby
 Lieberman     | Simon
 Lieberman     | Wellstone
 Lieberman     | Wirth
 Mack          | McCain
 Mack          | McConnell
 Mack          | Murkowski
 Mack          | Roth
 Mack          | Simpson
 Mack          | Stevens
 Mack          | Symms
 McCain        | McConnell
 McCain        | Murkowski
 McCain        | Roth
 McCain        | Simpson
 McCain        | Stevens
 McCain        | Symms
 McConnell     | Murkowski
 McConnell     | Roth
 McConnell     | Simpson
 McConnell     | Stevens
 McConnell     | Symms
 Moseley-Braun | Riegle
 Moseley-Braun | Sarbanes
 Moseley-Braun | Shelby
 Moseley-Braun | Simon
 Moseley-Braun | Wellstone
 Moseley-Braun | Wirth
 Murkowski     | Roth
 Murkowski     | Simpson
 Murkowski     | Stevens
 Murkowski     | Symms
 Riegle        | Sarbanes
 Riegle        | Shelby
 Riegle        | Simon
 Riegle        | Wellstone
 Riegle        | Wirth
 Roth          | Simpson
 Roth          | Stevens
 Roth          | Symms
 Sarbanes      | Shelby
 Sarbanes      | Simon
 Sarbanes      | Wellstone
 Sarbanes      | Wirth
 Shelby        | Simon
 Shelby        | Wellstone
 Shelby        | Wirth
 Simon         | Wellstone
 Simon         | Wirth
 Simpson       | Stevens
 Simpson       | Symms
 Stevens       | Symms
 Wellstone     | Wirth
(335 rows)

